GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-boot-first-project,org.example.dto.employee.login,EmployeeLoginResponseDto,0,9,0,0,0,1,0,1,0,1
spring-boot-first-project,org.example.dto.employee.login,EmployeeLoginRequestDto,0,17,0,0,0,4,0,5,0,5
spring-boot-first-project,org.example.controller.store_product,StoreProductController,6,236,6,26,1,46,6,23,0,13
spring-boot-first-project,org.example.service.report,PdfReportGeneratorServiceImpl,5,215,1,7,1,60,1,8,0,5
spring-boot-first-project,org.example.dto.page,PageResponseDto,23,52,0,0,2,8,6,7,6,7
spring-boot-first-project,org.example.model.store_product,Batch,0,45,0,0,0,8,0,13,0,13
spring-boot-first-project,org.example.model.store_product,StoreProduct,7,49,0,0,0,9,2,13,2,13
spring-boot-first-project,org.example.model.product,Product,0,31,0,0,0,6,0,9,0,9
spring-boot-first-project,org.example.controller.product,ProductController,0,130,1,7,0,23,1,11,0,8
spring-boot-first-project,org.example.controller.employee,EmployeeController,6,124,3,1,1,21,2,11,0,11
spring-boot-first-project,org.example.controller.employee,AuthenticationController,0,24,0,0,0,4,0,4,0,4
